Customer Field,Vendor Field,Cosine Similarity
Cost Source Code - Calculated ,Total_Billed_Amount,0.3881
Ingredient Cost - Approved ,Dosage Form,0.3944
Dispensing Fee - Approved,Plan_Paid_Amount,0.3209
Pharmacy Percentage Sales Tax - Approved,Pharmacy_Type,0.5296
Pharmacy Flat Sales Tax - Approved,Pharmacy_Type,0.541
Total Sales Tax - Approved,Total_Billed_Amount,0.3723
Member Pay Amount - Approved ,Member_Total_Paid_Amount,0.7355
Total Amount Due - Approved ,Total_Billed_Amount,0.5195
Withhold Amount - Approved,Plan_Paid_Amount,0.4118
Pharmacy Price Schedule Used - Approved ,Pharmacy_Name,0.4986
Pharmacy Price Schedule Table - Approved,Pharmacy_Type,0.4819
Pharmacy Member Pay Schedule - Approved ,Pharmacy_Type,0.4823
Pharmacy Member Pay Schedule Table - Approved ,Pharmacy_Type,0.4771
Pharmacy Copay Schedule Used - Approved,Pharmacy_Type,0.4867
Pharmacy Copay Schedule Step - Approved,Pharmacy_Name,0.4586
Flat Copay Amount - Approved,Member_Copay_Coins,0.5041
Coinsurance Amount - Approved,Total_Billed_Amount,0.4196
Total Copay Amount - Approved,Member_Copay_Coins,0.5344
Product Selection Amount - Approved,Quantity,0.4055
Member Sales Tax Amount - Approved,Member_Total_Paid_Amount,0.5357
Amount that Exceeds Benefit Maximum - Approved,Plan_Paid_Amount,0.3799
Incentive Fee Amount - Approved,Plan_Paid_Amount,0.4544
Deductible Amount - Approved,Member_Deductible,0.5806
Total Coordination of Benefits Amount - Approved,Plan_Paid_Amount,0.4067
Other Payer Amount Recognized - Approved,Member_Total_Paid_Amount,0.4995
Cost Source Code - Approved,Member_Other_Cost,0.3107
Cost Type - Approved,Member_Other_Cost,0.3651
Price Type - Approved,Pharmacy_Type,0.3617
Pricing Code - Client,Total_Billed_Amount,0.4152
Ingredient Cost - Client,Member_Other_Cost,0.3854
Dispensing Fee - Client,Total_Billed_Amount,0.3571
Total Sales Tax - Client,Total_Billed_Amount,0.3815
Member Pay Amount - Client ,Member_Total_Paid_Amount,0.6859
Total Amount - Client,Total_Billed_Amount,0.6509
Withhold Amount - Client,Plan_Paid_Amount,0.403
Price Schedule Used - Client,Plan_Paid_Amount,0.316
Price Schedule Table Used - Client,Plan_Paid_Amount,0.3174
Member Pay Schedule Used - Client,Member_Total_Paid_Amount,0.4738
Member Pay Schedule Table Used - Client,Member_Total_Paid_Amount,0.514
Copay Schedule Used - Client,Member_Copay_Coins,0.4536
Copay Schedule Step Used - Client,Member_Copay_Coins,0.4122
Flat Copay Amount - Client,Member_Copay_Coins,0.517
Coinsurance Amount - Client,Total_Billed_Amount,0.45
Total Copay Amount - Client,Member_Copay_Coins,0.5425
Product Selection Amount - Client,Quantity,0.4184
Percentage Sales Tax - Client,Total_Billed_Amount,0.2728
Flat Sales Tax - Client,Member_Deductible,0.2076
Total Sales Tax (Member Pay) - Client,Member_Total_Paid_Amount,0.5217
Amount that Exceeds Benefit Maximum - Client,Plan_Paid_Amount,0.3913
Incentive Fee Amount - Client,Plan_Paid_Amount,0.4473
Deductible Amount - Client,Member_Deductible,0.5407
Coordination of Benefits Total Amount - Client,Member_Total_Paid_Amount,0.4569
Other Payer Amount Recognized - Client,Member_Total_Paid_Amount,0.4934
Cost Source Code - Client ,Member_Other_Cost,0.336
Cost Type - Client ,Member_Other_Cost,0.4077
Price Type - Client,Pharmacy_Type,0.3853
Basis of Reimbursement Determination - Response,Plan_Paid_Amount,0.3836
Ingredient Cost - Response,Quantity,0.4006
Dispensing Fee - Response,Total_Billed_Amount,0.4081
Percentage Sales Tax - Response,Total_Billed_Amount,0.2721
Flat Sales Tax - Response,Total_Billed_Amount,0.2176
Total Sales Tax - Response,Total_Billed_Amount,0.3817
Member Pay Amount - Response,Member_Total_Paid_Amount,0.7177
Total Amount Paid - Response,Total_Billed_Amount,0.6419
Flat Copay Amount - Response,Member_Copay_Coins,0.4644
Coinsurance Amount - Response,Total_Billed_Amount,0.4611
Total Copay Amount - Response,Member_Copay_Coins,0.5132
Product Selection Amount - Response ,Quantity,0.4483
Member Sales Tax Amount - Response,Member_Total_Paid_Amount,0.5243
Amount that Exceeds Benefit Maximum - Response,Plan_Paid_Amount,0.3412
Incentive Fee Amount - Response,Plan_Paid_Amount,0.4693
Deductible Amount - Response,Member_Deductible,0.5173
Other Payer Amount Recognized - Response,Total_Billed_Amount,0.5338
Accumulated Deductible Amount - Response,Total_Billed_Amount,0.4791
Remaining Benefit Amount - Response,Plan_Paid_Amount,0.421
Remaining Deductible Amount - Response,Total_Billed_Amount,0.448
Accumulated Individual Deductible Period to Date,Member_Deductible,0.4956
Remaining Individual Deductible Amount,Member_Deductible,0.5075
Accumulated Family Deductible Period to Date,Member_Deductible,0.4326
Remaining Family Deductible Amount,Member_Deductible,0.4246
Deductible Schedule Code ,Member_Deductible,0.5217
Deductible Accumulation  Code,Member_Deductible,0.5476
Deductible Flag,Member_Deductible,0.5842
Individual Lifetime Benefit Maximum Amount Used,Plan_Paid_Amount,0.3356
Accumulated Individual Lifetime Benefit Maximum Amount,Member_Total_Paid_Amount,0.3461
Remaining Individual Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.3096
Family Lifetime Benefit Maximum Amount Used,Plan_Paid_Amount,0.2692
Accumulated Family Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.2592
Remaining Family Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.221
Lifetime Benefit Maximum Schedule Code ,Plan_Paid_Amount,0.3171
Lifetime Benefit Maximum Accumulation Code,Dosage Form,0.2602
Lifetime Benefit Maximum Flag,Claim ID,0.2372
Individual Benefit Maximum Amount Used,Member_Total_Paid_Amount,0.4113
Accumulated Individual Benefit Maximum Amount,Member_Total_Paid_Amount,0.4535
Family Benefit Maximum Amount Used,Plan_Paid_Amount,0.2993
Accumulated Family Benefit Maximum Amount,Member_Total_Paid_Amount,0.3013
Remaining Individual Benefit Maximum Amount,Member_Total_Paid_Amount,0.4171
Remaining Family Benefit Maximum Amount,Member_Total_Paid_Amount,0.255
Benefit Maximum Schedule Code ,Days_Supply,0.3101
Benefit Maximum Accumulation Code,Dosage Form,0.2579
Benefit Maximum Flag,Member_Other_Cost,0.2392
Accumulated Individual Out of Pocket Amount,Plan_Paid_Amount,0.4229
Accumulated Family Out of Pocket Amount,Plan_Paid_Amount,0.288
Remaining Individual Out of Pocket Amount,Quantity,0.3967
Remaining Family Out of Pocket Amount,Total_Billed_Amount,0.2183
Out of Pocket Maximum Schedule Code,Plan_Paid_Amount,0.3313
Out of Pocket Accumulation Code,Plan_Paid_Amount,0.325
Out of Pocket Flag,In-Out_Network,0.2744
Payment Reimbursement Code,Plan_Paid_Amount,0.4745
Claim Origination Flag,Claim ID,0.5624
Add System User ID,Patient_ID,0.3778
"Change System User ID

",Claim ID,0.359
Direct Member Reimbursement (DMR) System User ID,Claim ID,0.4241
Add System User ID - Prior Authorization (PA),Claim ID,0.3575
Claim Reference Identification Number for Workers' Compensation - Pharmacy Submitted,Claim ID,0.493
Explanation of Benefits (EOB) Denial Override Code,Original_Claim,0.2682
Manual Pharmacy Claim Tracking Number,Pharmacy_Name,0.5263
Manual Pharmacy Claim Received Date,Date_Prescription_Filled,0.5727
Health Insurance Market (HIM) Status,Patient_State,0.3442
Deliquency Handling Code,Formulary,0.2227
Deliquency Resolved Code,Status,0.2169
Price Schedule Type,Days_Supply,0.3184
Secondary Claim Code,Claim ID,0.5898
Plan Product Type,Brand_Generic,0.3836
Prorate Copay Indicator,Member_Copay_Coins,0.5492
Client Code,PCN,0.2728
Formulary Tier,Formulary,0.6977
Formulary Tier-Final,Formulary,0.6438
Cost Share Code,Member_Other_Cost,0.4751
Cost Share Code-Final,Member_Other_Cost,0.4228
Plan Sponsor Pricing Detail,Plan_Paid_Amount,0.5162
Benefit Selection Cost Indicator,Member_Other_Cost,0.3732
New Drug Application (NDA) Product Override,Prescription_No,0.4316
Biologic License Application (BLA) Flag,Patient_State,0.2942
Biologic License Application (BLA) Override,Prescription_No,0.2859
Applied Accumulator Records Indicator,Record Number,0.3825
Considered Met Accumulator Records Indicator,Record Number,0.3803
Drug Cost Reduction Extract Records Indicator,Pharmacy_Name,0.3678
Eligibility Redirect Indicator,Claim ID,0.3258
Point of Sale Rebate Flag,Member_Copay_Coins,0.243
Network Contract Type Code,In-Out_Network,0.3419
Patient Assistance Program Claim Designation Flag,Claim ID,0.4738
Biosimilar Rating,Brand_Generic,0.2878
Biosimilar Override,Brand_Generic,0.3441
Low Income Cost-Sharing Subsidy (LICS) Copay Category Code,Member_Copay_Coins,0.4459
Reimbursement Check Number,Plan_Paid_Amount,0.4256
Reimbursement Check Date,Paid_Date,0.6176
Accumulator Integrated Flag,Record ID,0.1952
Subscriber Last Name,Prescriber_Name,0.6584
Subscriber First  Name,Prescriber_Name,0.736
Subscriber Middle Initial ,Prescriber_Name,0.5563
Subscriber Gender Code,Prescriber_Name,0.4358
Subscriber Date of Birth ,Date_of_Birth,0.6843
Subscriber Address Line 1,Prescriber_Name,0.5588
Subscriber Address Line 2,Prescriber_Name,0.5335
Subscriber City,Patient_City,0.5265
Subscriber State,Prescriber_Name,0.5179
Subscriber Zip,Patient_Zip_code,0.5039
Subscriber Zip Extension,Patient_Zip_code,0.4546
Pharmacy Address Line 1,Pharmacy_Name,0.7256
Pharmacy City,Pharmacy_Name,0.7361
Pharmacy State,Pharmacy_Name,0.7145
Pharmacy Phone,Pharmacy_Name,0.7497
Pharmacy Federal Tax ID,Pharmacy_Name,0.6588
Total Amount Due to Pharmacy,Pharmacy_Name,0.5715
Pharmacy ID - National Provider Identifier (NPI),Pharmacy_Type,0.5413
Pharmacy ID - National Council for Prescription Drug Programs (NCPDP),Pharmacy_Type,0.6374
CMS Contract Identifier,Record ID,0.4507
CMS Plan Benefit Package (PBP) ID,Claim ID,0.3607
Covered Plan Paid (CPP) TrOOP Schedule Code,Plan_Paid_Amount,0.5033
Drug Coverage Status Schedule Code,Date_Prescription_Filled,0.495
Drug Coverage Status Code,Patient_Zip_code,0.5005
Medicare Part D Profile Sequence Number,Patient_ID,0.4087
Covered Plan Paid (CPP) Amount,Plan_Paid_Amount,0.7083
Prior TrOOP Amount,Quantity,0.3498
Submitted Other Payer Amount Paid,Member_Total_Paid_Amount,0.5488
Low Income Cost-Sharing Subsidy (LICS) Amount,Member_Other_Cost,0.3781
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Code,Member_Other_Cost,0.2963
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Number,Member_Other_Cost,0.294
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Count,Member_Other_Cost,0.2863
Deductible Level Drug Spend - Medicare Part D ,Date_Prescription_Filled,0.41
Amount Toward Medicare Part D Plan Deductible,Plan_Paid_Amount,0.4575
Deductible Level TrOOP Amount,Member_Deductible,0.591
Plan Coverage Gap Drug Spend - Medicare Part D,Date_Prescription_Filled,0.3958
Amount Toward Medicare Part D Plan Coverage Gap,Plan_Paid_Amount,0.3979
Plan TrOOP Catastrophic Amount,Plan_Paid_Amount,0.397
Plan Paid Amount Catastrophic,Plan_Paid_Amount,0.7608
Plan Initial Coverage Amount,Plan_Paid_Amount,0.5173
Plan Paid Amount Initial Coverage,Plan_Paid_Amount,0.6967
Member Amount Toward  Medicare Part D Deductible,Member_Deductible,0.6372
Member Amount Toward Medicare Part D Coverage Gap,Member_Total_Paid_Amount,0.404
Member Amount Toward Medicare Part D Catastrophic ,Member_Total_Paid_Amount,0.4771
Plan TrOOP Schedule Code,Patient_Zip_code,0.3072
Member Amount Toward Medicare Part D Initial Coverage,Member_Total_Paid_Amount,0.4757
Catastrophic Coverage Code,Patient_Zip_code,0.3079
Gross Drug Cost Above Out of Pocket Threshold (GDCA),Prescription_No,0.3623
Gross Drug Cost Below Out of Pocket Threshold (GDCB),Prescription_No,0.3805
Non-Covered Plan Paid (NPP) Amount,Plan_Paid_Amount,0.6508
Drug Spend Amount - Medicare Part D,Date_Prescription_Filled,0.4584
Filler,Quantity,0.3219
Pharmacy Dispenser Type (secondary),Pharmacy_Type,0.5975
Pharmacy Dispenser Type (tertiary),Pharmacy_Type,0.6292
Pharmacy Name,Pharmacy_Name,0.9443
Submitted Prescription Number (12 characters),Date_Prescription_Filled,0.5849
Pharmacy Member Pay Schedule Table (13 characters) - Approved ,Pharmacy_Type,0.5261
Member Pay Schedule Table Used (13 characters) - Client ,Member_Total_Paid_Amount,0.5351
Reprocess Claim Sequence Nbr,Original_Claim,0.4617
Adjustment Sequence Nbr,NDC,0.2892
Original Adjustment Sequence,Record Number,0.2594
SCA Claim Number,Claim ID,0.5537
SCA Sequence Number,Record Number,0.4002
Adjustment Reprocessing Reason Code,Original_Claim,0.2217
Tracking ID,Record ID,0.6844
Formulary ID,Formulary,0.6891
Drug Cost Reduction Indicator,Dosage Form,0.3913
Alternative Drug Cost,Prescription_No,0.422
Drug Cost Percentage Applied,Dosage Form,0.4056
Grace Fill Applied/Qualified Flag,Date_Prescription_Filled,0.2604
Grace Fill Diagnosis Program Status,Patient_State,0.3477
Newborn Coverage Indicator,Patient_State,0.3077
FlexAccess Claim Designation Flag,Claim ID,0.4848
FlexAccess Member Refused Flag ,Member_Other_Cost,0.1926
Future Use,Status,0.3082
Client Delta Schedule Name,Date_of_Service,0.3379
Client Delta Rate Schedule Name,Date_of_Service,0.2873
Reserve Field 9,Record Number,0.3033
Reserve Field 10,Status,0.3028
Individual OOP Applied Amount,Total_Billed_Amount,0.4122
Individual Deductible Applied Amount,Member_Deductible,0.5396
FlexAccess Standard Benefit Patient Pay,Plan_Paid_Amount,0.3536
Member Pay after Mfg Assistance,Member_Total_Paid_Amount,0.5201
Coupon Transaction Type,Pharmacy_Type,0.2996
Coupon Amount ,Total_Billed_Amount,0.4609
Client Defined Data,Prescriber_Name,0.2044
Last byte contains '*',Patient_Last_Name,0.2175
